Mã,N_years,SW_stock_nonmissing,SW_delta_nonmissing,first_stock_year,last_stock_year
ABB,11,11,11,2015,2025
ACB,11,11,11,2015,2025
BAB,11,11,11,2015,2025
BAOVIETBAN,11,11,11,2015,2025
BVB,11,11,11,2015,2025
EIB,11,11,11,2015,2025
HDB,11,11,11,2015,2025
KLB,11,11,11,2015,2025
LPB,11,10,10,2016,2025
MBB,11,11,11,2015,2025
MSB,11,11,11,2015,2025
NAB,11,9,9,2016,2025
NVB,11,11,11,2015,2025
OCB,11,10,10,2016,2025
PCB,11,8,8,2018,2025
PGB,11,11,11,2015,2025
SGB,11,10,10,2016,2025
SHB,11,11,11,2015,2025
SSB,11,10,10,2016,2025
STB,11,11,11,2015,2025
TCB,11,11,11,2015,2025
TPB,11,11,11,2015,2025
VAB,11,10,10,2015,2025
VBB,11,9,9,2017,2025
VIB,11,11,11,2015,2025
VPB,11,11,11,2015,2025
