Mã,year,SW_stock_new,SW_begin_new,SW_delta_new
ABB,2025,544841.0,521741.0,23100.0
ABB,2024,521741.0,497688.0,24053.0
ABB,2023,497688.0,452772.0,44916.0
ABB,2022,452772.0,410369.0,42403.0
ABB,2021,410369.0,393585.0,16784.0
ABB,2020,393585.0,363838.0,29747.0
ABB,2019,363838.0,302543.0,61295.0
ABB,2018,302543.0,223878.0,78665.0
ABB,2017,223878.0,203578.0,20300.0
ABB,2016,203578.0,193808.0,9770.0
ABB,2015,193808.0,186283.0,7525.0
ABB,2014,186283.0,184883.0,1400.0
ACB,2025,1290183.0,1107472.0,182711.0
ACB,2024,1107472.0,949476.0,157996.0
ACB,2023,949476.0,835179.0,114297.0
ACB,2022,835179.0,723927.0,111252.0
ACB,2021,723927.0,676176.0,47751.0
ACB,2020,676176.0,592512.0,83664.0
ACB,2019,592512.0,526382.0,66130.0
ACB,2018,526382.0,447559.0,78823.0
ACB,2017,447559.0,428105.0,19454.0
ACB,2016,428105.0,357928.0,70177.0
ACB,2015,357928.0,324307.0,33621.0
ACB,2014,324307.0,176926.0,147381.0
AGRB,2025,1697810.0,1732305.0,-34495.0
AGRB,2024,1732305.0,1646074.0,86231.0
AGRB,2023,1646074.0,1382202.0,263872.0
AGRB,2022,1382202.0,1373952.0,8250.0
AGRB,2021,1373952.0,1365853.0,8099.0
AGRB,2020,1365853.0,1288786.0,77067.0
AGRB,2019,1288786.0,1109511.0,179275.0
AGRB,2018,1109511.0,1103143.0,6368.0
AGRB,2017,1103143.0,1073778.0,29365.0
AGRB,2016,1073778.0,834641.0,239137.0
AGRB,2015,834641.0,817870.0,16771.0
AGRB,2014,817870.0,823963.0,-6093.0
BAB,2025,172.414,170.536,1.877999999999986
BAB,2024,170.536,154.574,15.961999999999989
BAB,2023,154.574,117.294,37.280000000000015
BAB,2022,117.294,109.544,7.75
BAB,2021,109.544,94.825,14.718999999999994
BAB,2020,94.825,87.34,7.484999999999999
BAB,2019,87.34,80.205,7.135000000000005
BAB,2018,80.205,76.003,4.201999999999998
BAB,2017,76.003,69.766,6.236999999999995
BAB,2016,69.766,60.098,9.668000000000006
BAB,2015,60.098,60.098,0.0
BAB,2014,60.098,59.303,0.7950000000000017
BAOVIETBAN,2025,113424.0,108424.0,5000.0
BAOVIETBAN,2024,108424.0,108424.0,0.0
BAOVIETBAN,2023,108424.0,92306.0,16118.0
BAOVIETBAN,2022,92306.0,93889.0,-1583.0
BAOVIETBAN,2021,93889.0,92004.0,1885.0
BAOVIETBAN,2020,92004.0,92004.0,0.0
BAOVIETBAN,2019,92004.0,73396.0,18608.0
BAOVIETBAN,2018,73396.0,69969.0,3427.0
BAOVIETBAN,2017,69969.0,69969.0,0.0
BAOVIETBAN,2016,69969.0,69969.0,0.0
BAOVIETBAN,2015,69969.0,69585.0,384.0
BAOVIETBAN,2014,,,
BID,2025,3443718.0,3168238.0,275480.0
BID,2024,3168238.0,2301868.0,866370.0
BID,2023,2301868.0,2185898.0,115970.0
BID,2022,2185898.0,1941744.0,244154.0
BID,2021,1941744.0,1654829.0,286915.0
BID,2020,1654829.0,1606808.0,48021.0
BID,2019,1606808.0,1526653.0,80155.0
BID,2018,1526653.0,1422214.0,104439.0
BID,2017,1429810.0,1311347.0,118463.0
BID,2016,1311347.0,971212.0,340135.0
BID,2015,971212.0,617525.0,353687.0
BID,2014,617525.0,541727.0,75798.0
BVB,2025,403372.0,384366.0,19006.0
BVB,2024,384366.0,353816.0,30550.0
BVB,2023,353816.0,321276.0,32540.0
BVB,2022,321276.0,300862.0,20414.0
BVB,2021,300862.0,252783.0,48079.0
BVB,2020,252783.0,219651.0,33132.0
BVB,2019,219651.0,145349.0,74302.0
BVB,2018,145349.0,141601.0,3748.0
BVB,2017,141601.0,117794.0,23807.0
BVB,2016,117794.0,110819.0,6975.0
BVB,2015,110819.0,92363.0,18456.0
BVB,2014,92363.0,77277.0,15086.0
CTG,2025,3209661.0,2767424.0,442237.0
CTG,2024,2767424.0,2684421.0,83003.0
CTG,2023,2684421.0,2665355.0,19066.0
CTG,2022,2665355.0,2509092.0,156263.0
CTG,2021,2509092.0,2344478.0,164614.0
CTG,2020,2344478.0,2211079.0,133399.0
CTG,2019,2211079.0,1942646.0,268433.0
CTG,2018,1942646.0,1824424.0,118222.0
CTG,2017,1824424.0,888254.0,936170.0
CTG,2016,888254.0,872095.0,16159.0
CTG,2015,872095.0,890478.0,-18383.0
CTG,2014,867529.0,635340.0,232189.0
EIB,2025,839751.0,722565.0,117186.0
EIB,2024,722565.0,572711.0,149854.0
EIB,2023,572711.0,518454.0,54257.0
EIB,2022,518454.0,514474.0,3980.0
EIB,2021,514474.0,491794.0,22680.0
EIB,2020,491794.0,469471.0,22323.0
EIB,2019,469471.0,451823.0,17648.0
EIB,2018,451823.0,169936.0,281887.0
EIB,2017,169936.0,160405.0,9531.0
EIB,2016,160405.0,147837.0,12568.0
EIB,2015,147837.0,132495.0,15342.0
EIB,2014,132495.0,128100.0,4395.0
HDB,2025,663687.0,562727.0,100960.0
HDB,2024,562727.0,427194.0,135533.0
HDB,2023,427194.0,357930.0,69264.0
HDB,2022,357930.0,333129.0,24801.0
HDB,2021,333129.0,320924.0,12205.0
HDB,2020,320924.0,214820.0,106104.0
HDB,2019,214820.0,200159.0,14661.0
HDB,2018,200159.0,193208.0,6951.0
HDB,2017,193208.0,181223.0,11985.0
HDB,2016,181223.0,179793.0,1430.0
HDB,2015,179793.0,158813.0,20980.0
HDB,2014,158812.0,140413.0,18399.0
IVNB,2025,5362802.0,5278070.0,84732.0
IVNB,2024,5278070.0,4840757.0,437313.0
IVNB,2023,4840757.0,3978503.0,862254.0
IVNB,2022,4040675.0,4024643.0,16032.0
IVNB,2021,4024643.0,4024643.0,0.0
IVNB,2020,4024643.0,3113230.0,911413.0
IVNB,2019,3113230.0,2636831.0,476399.0
IVNB,2018,2636830.0,2378381.0,258449.0
IVNB,2017,2378381.0,2234908.0,143473.0
IVNB,2016,2234908.0,2239306.0,-4398.0
IVNB,2015,2239307.0,1618316.0,620991.0
IVNB,2014,1618316.0,1427948.0,190368.0
KLB,2025,229825.0,227825.0,2000.0
KLB,2024,227825.0,148559.0,79266.0
KLB,2023,148559.0,114325.0,34234.0
KLB,2022,114325.0,98250.0,16075.0
KLB,2021,98250.0,90611.0,7639.0
KLB,2020,90611.0,90123.0,488.0
KLB,2019,90123.0,68257.0,21866.0
KLB,2018,68257.0,62175.0,6082.0
KLB,2017,62175.0,53751.0,8424.0
KLB,2016,53750.0,52994.0,756.0
KLB,2015,52994.0,50472.0,2522.0
KLB,2014,50472.0,41694.0,8778.0
LPB,2025,839103.0,634205.0,204898.0
LPB,2024,634205.0,371819.0,262386.0
LPB,2023,371819.0,269167.0,102652.0
LPB,2022,269167.0,262760.0,6407.0
LPB,2021,262760.0,251945.0,10815.0
LPB,2020,251945.0,220762.0,31183.0
LPB,2019,220762.0,203950.0,16812.0
LPB,2018,203950.0,160828.0,43122.0
LPB,2017,160828.0,114343.0,46485.0
LPB,2016,114343.0,114262.0,81.0
LPB,2015,,,
LPB,2014,,,
MBB,2025,4473644.0,3798646.0,674998.0
MBB,2024,3798646.0,3020072.0,778574.0
MBB,2023,3020072.0,2439978.0,580094.0
MBB,2022,2439978.0,1811224.0,628754.0
MBB,2021,1811224.0,1169487.0,641737.0
MBB,2020,1169487.0,872307.0,297180.0
MBB,2019,872307.0,743180.0,129127.0
MBB,2018,743180.0,621885.0,121295.0
MBB,2017,621885.0,436531.0,185354.0
MBB,2016,436531.0,363495.0,73036.0
MBB,2015,363495.0,266069.0,97426.0
MBB,2014,266069.0,253353.0,12716.0
MSB,2025,617831.0,574675.0,43156.0
MSB,2024,574675.0,556624.0,18051.0
MSB,2023,556624.0,546134.0,10490.0
MSB,2022,546134.0,444085.0,102049.0
MSB,2021,444085.0,398808.0,45277.0
MSB,2020,398808.0,433920.0,-35112.0
MSB,2019,433920.0,399067.0,34853.0
MSB,2018,399067.0,348850.0,50217.0
MSB,2017,348850.0,300234.0,48616.0
MSB,2016,300234.0,290298.0,9936.0
MSB,2015,290298.0,173090.0,117208.0
MSB,2014,,,
NAB,2025,204937.0,193642.0,11295.0
NAB,2024,193642.0,182474.0,11168.0
NAB,2023,182474.0,174388.0,8086.0
NAB,2022,174388.0,154928.0,19460.0
NAB,2021,154928.0,154928.0,0.0
NAB,2020,154928.0,141573.0,13355.0
NAB,2019,141573.0,141573.0,0.0
NAB,2018,141573.0,140936.0,637.0
NAB,2017,,,
NAB,2016,76461.0,76461.0,0.0
NAB,2015,,,
NAB,2014,,,
NVB,2025,221645.0,182706.0,38939.0
NVB,2024,182706.0,141253.0,41453.0
NVB,2023,141253.0,85143.0,56110.0
NVB,2022,85143.0,72493.0,12650.0
NVB,2021,72493.0,69555.0,2938.0
NVB,2020,69555.0,59404.0,10151.0
NVB,2019,59404.0,57859.0,1545.0
NVB,2018,57859.0,49393.0,8466.0
NVB,2017,49393.0,45088.0,4305.0
NVB,2016,45088.0,33911.0,11177.0
NVB,2015,33911.0,23085.0,10826.0
NVB,2014,23085.0,22636.0,449.0
OCB,2025,541634.0,497805.0,43829.0
OCB,2024,497805.0,426898.0,70907.0
OCB,2023,426898.0,402758.0,24140.0
OCB,2022,402758.0,346348.0,56410.0
OCB,2021,346348.0,312870.0,33478.0
OCB,2020,312870.0,282866.0,30004.0
OCB,2019,282866.0,210191.0,72675.0
OCB,2018,210191.0,167230.0,42961.0
OCB,2017,167230.0,136028.0,31202.0
OCB,2016,136028.0,120860.0,15168.0
OCB,2015,,,
OCB,2014,,,
PCB,2025,370103.0,345794.0,24309.0
PCB,2024,345794.0,285269.0,60525.0
PCB,2023,285269.0,297860.0,-12591.0
PCB,2022,297860.0,284861.0,12999.0
PCB,2021,284861.0,239963.0,44898.0
PCB,2020,239963.0,213282.0,26681.0
PCB,2019,213282.0,168974.0,44308.0
PCB,2018,168974.0,162699.0,6275.0
PCB,2017,,,
PCB,2016,,,
PCB,2015,,,
PCB,2014,,,
PGB,2025,115887.0,96451.0,19436.0
PGB,2024,96451.0,90913.0,5538.0
PGB,2023,90913.0,83841.0,7072.0
PGB,2022,83841.0,70457.0,13384.0
PGB,2021,70457.0,58609.0,11848.0
PGB,2020,58609.0,58609.0,0.0
PGB,2019,58609.0,58009.0,600.0
PGB,2018,58009.0,56061.0,1948.0
PGB,2017,56061.0,52668.0,3393.0
PGB,2016,52668.0,52668.0,0.0
PGB,2015,52668.0,49457.0,3211.0
PGB,2014,49457.0,43815.0,5642.0
SGB,2025,73932.0,68363.0,5569.0
SGB,2024,68363.0,61748.0,6615.0
SGB,2023,61748.0,57986.0,3762.0
SGB,2022,57986.0,51928.0,6058.0
SGB,2021,51928.0,50123.0,1805.0
SGB,2020,50123.0,50123.0,0.0
SGB,2019,50123.0,48256.0,1867.0
SGB,2018,48256.0,46807.0,1449.0
SGB,2017,46807.0,46807.0,0.0
SGB,2016,46807.0,44914.0,1893.0
SGB,2015,,,
SGB,2014,44914.0,44914.0,0.0
SHB,2025,735970.0,480604.0,255366.0
SHB,2024,480604.0,442555.0,38049.0
SHB,2023,442555.0,401253.0,41302.0
SHB,2022,401253.0,373793.0,27460.0
SHB,2021,373793.0,314512.0,59281.0
SHB,2020,314512.0,278157.0,36355.0
SHB,2019,278157.0,219319.0,58838.0
SHB,2018,219319.0,211811.0,7508.0
SHB,2017,211811.0,207848.0,3963.0
SHB,2016,207848.0,183424.0,24424.0
SHB,2015,183424.0,179022.0,4402.0
SHB,2014,179022.0,198494.0,-19472.0
SSB,2025,795340.0,609018.0,186322.0
SSB,2024,609020.0,558122.0,50898.0
SSB,2023,558122.0,456580.0,101542.0
SSB,2022,456580.0,371507.0,85073.0
SSB,2021,371507.0,348816.0,22691.0
SSB,2020,348815.0,300881.0,47934.0
SSB,2019,300881.0,274958.0,25923.0
SSB,2018,274958.0,242951.0,32007.0
SSB,2017,242951.0,174927.0,68024.0
SSB,2016,165980.0,143971.0,22009.0
SSB,2015,,,
SSB,2014,,,
STB,2025,2511858.0,2387927.0,123931.0
STB,2024,2387927.0,2143860.0,244067.0
STB,2023,2143860.0,1903229.0,240631.0
STB,2022,1903229.0,1790062.0,113167.0
STB,2021,1790062.0,1611305.0,178757.0
STB,2020,1611305.0,1230582.0,380723.0
STB,2019,1230582.0,959957.0,270625.0
STB,2018,959957.0,859674.0,100283.0
STB,2017,859674.0,801302.0,58372.0
STB,2016,801302.0,738349.0,62953.0
STB,2015,738349.0,554416.0,183933.0
STB,2014,554416.0,510629.0,43787.0
TCB,2025,7561174.0,6514231.0,1046943.0
TCB,2024,6514231.0,4547852.0,1966379.0
TCB,2023,4547852.0,3265918.0,1281934.0
TCB,2022,3265918.0,1906692.0,1359226.0
TCB,2021,1906692.0,1296198.0,610494.0
TCB,2020,1296198.0,1016803.0,279395.0
TCB,2019,1016803.0,887850.0,128953.0
TCB,2018,887850.0,828990.0,58860.0
TCB,2017,828990.0,802879.0,26111.0
TCB,2016,802879.0,641837.0,161042.0
TCB,2015,642073.0,597067.0,45006.0
TCB,2014,597067.0,502955.0,94112.0
TPB,2025,1203852.0,1027747.0,176105.0
TPB,2024,1027747.0,886455.0,141292.0
TPB,2023,886455.0,750811.0,135644.0
TPB,2022,750811.0,620296.0,130515.0
TPB,2021,620296.0,483915.0,136381.0
TPB,2020,483915.0,370895.0,113020.0
TPB,2019,370895.0,212497.0,158398.0
TPB,2018,212497.0,162708.0,49789.0
TPB,2017,162708.0,103947.0,58761.0
TPB,2016,103947.0,81705.0,22242.0
TPB,2015,81705.0,59378.0,22327.0
TPB,2014,,,
