hypothesis,role,outcome,focal,method,coef,se,df,t,p_value,ci_low,ci_high,N,G
H1 CASA baseline,benchmark,CI,z_FI_dig,conventional,0.001608965761287272,0.0003979870596732375,25.0,4.042758984697376,0.00044388536658410154,0.0007892960683933134,0.0024286354541812306,273,26
H1 CASA baseline,benchmark,CI,z_FI_dig,cluster,0.001608965761287272,0.00034988460321108916,25.0,4.598561201381489,0.00010547994564050725,0.0008883649319592448,0.002329566590615299,273,26
H1 CASA baseline,benchmark,CI,z_FI_dig,cluster_hc1,0.001608965761287272,0.00038802707971612545,25.0,4.146529573308044,0.0003397924053448663,0.0008098090310996358,0.002408122491474908,273,26
H1 CASA baseline,benchmark,CI,z_FI_dig,cr2,0.001608965761287272,0.00039459608276198334,18.206270337856854,4.0775005925686925,0.0006924377460895662,0.0007806228871377917,0.002437308635436752,273,26
H1 CASA baseline,benchmark,CI,z_FI_dig,wild_cluster_rademacher_null,0.001608965761287272,,,,0.001,,,273,26
H2 Flow baseline,primary_temporal,CI,z_FI_dig,conventional,0.00039443871556604435,0.00022407901437679012,25.0,1.7602662019156932,0.09059408751425937,-6.706065340591458e-05,0.0008559380845380032,271,26
H2 Flow baseline,primary_temporal,CI,z_FI_dig,cluster,0.00039443871556604435,0.0002700166880073338,25.0,1.4607938438061694,0.15652712037987226,-0.00016167106327181764,0.0009505484944039063,271,26
H2 Flow baseline,primary_temporal,CI,z_FI_dig,cluster_hc1,0.00039443871556604435,0.0002996551418035956,25.0,1.3163088515416606,0.20001197347371708,-0.00022271260150921604,0.0010115900326413047,271,26
H2 Flow baseline,primary_temporal,CI,z_FI_dig,cr2,0.00039443871556604435,0.0003091650074652314,5.5417073822315635,1.2758194040132527,0.2528809397394253,-0.00037748786297643014,0.0011663652941085187,271,26
H2 Flow baseline,primary_temporal,CI,z_FI_dig,wild_cluster_rademacher_null,0.00039443871556604435,,,,0.233,,,271,26
H2 Flow x Post2020,primary_temporal,CI,digxpost,conventional,-0.0022843902078299163,0.0006759685287346049,25.0,-3.3794327852899215,0.0023858722090017493,-0.003676573453206758,-0.0008922069624530747,271,26
H2 Flow x Post2020,primary_temporal,CI,digxpost,cluster,-0.0022843902078299163,0.0006225874743477546,25.0,-3.6691875470561417,0.0011525048970169357,-0.0035666331137104196,-0.001002147301949413,271,26
H2 Flow x Post2020,primary_temporal,CI,digxpost,cluster_hc1,-0.0022843902078299163,0.0006939764151162317,25.0,-3.291740407989675,0.002965118636327424,-0.0037136613894633193,-0.0008551190261965134,271,26
H2 Flow x Post2020,primary_temporal,CI,digxpost,cr2,-0.0022843902078299163,0.0007751890017299709,7.019482330277109,-2.946881602721268,0.021433888546742486,-0.0041163900944913515,-0.0004523903211684809,271,26
H2 Flow x Post2020,primary_temporal,CI,digxpost,wild_cluster_rademacher_null,-0.0022843902078299163,,,,0.004,,,271,26
H4a SW_stock -> ln network,primary_supplementary,lnNetworkCount_raw,z_FI_dig,conventional,-0.07453772732598254,0.017270078023783633,25.0,-4.316004086567084,0.00021932739705552172,-0.11010611882502236,-0.03896933582694273,271,26
H4a SW_stock -> ln network,primary_supplementary,lnNetworkCount_raw,z_FI_dig,cluster,-0.07453772732598254,0.021880733664808416,25.0,-3.4065460723496805,0.0022301490238275583,-0.11960194187118235,-0.029473512780782737,271,26
H4a SW_stock -> ln network,primary_supplementary,lnNetworkCount_raw,z_FI_dig,cluster_hc1,-0.07453772732598254,0.024229401714417797,25.0,-3.07633379497062,0.005022645726774691,-0.12443911426697277,-0.02463634038499233,271,26
H4a SW_stock -> ln network,primary_supplementary,lnNetworkCount_raw,z_FI_dig,cr2,-0.07453772732598254,0.024714838173715982,9.910983343617842,-3.015909989054785,0.013111607683843424,-0.1296729345152118,-0.019402520136753275,271,26
H4a SW_stock -> ln network,primary_supplementary,lnNetworkCount_raw,z_FI_dig,wild_cluster_rademacher_null,-0.07453772732598254,,,,0.083,,,271,26
H4a SW_delta -> ln network,secondary_supplementary,lnNetworkCount_raw,z_FI_dig,conventional,-0.055280232228117884,0.013868176672881084,25.0,-3.9861211413766577,0.0005134177687018489,-0.08384227674231039,-0.026718187713925385,271,26
H4a SW_delta -> ln network,secondary_supplementary,lnNetworkCount_raw,z_FI_dig,cluster,-0.055280232228117884,0.013266590019281528,25.0,-4.166875749365448,0.00032242087798876857,-0.08260328583640025,-0.027957178619835512,271,26
H4a SW_delta -> ln network,secondary_supplementary,lnNetworkCount_raw,z_FI_dig,cluster_hc1,-0.055280232228117884,0.01469061978824979,25.0,-3.7629611973439996,0.0009083294919279748,-0.08553613004585876,-0.025024334410377005,271,26
H4a SW_delta -> ln network,secondary_supplementary,lnNetworkCount_raw,z_FI_dig,cr2,-0.055280232228117884,0.016218414469229864,13.172173260734386,-3.408485603386043,0.004586310367869714,-0.09027148854368175,-0.020288975912554026,271,26
H4a SW_delta -> ln network,secondary_supplementary,lnNetworkCount_raw,z_FI_dig,wild_cluster_rademacher_null,-0.055280232228117884,,,,0.102,,,271,26
H5 SW_stock x BIG_it,primary_boundary,CI,DxBIG,conventional,-0.008353012482208702,0.0022798347679243874,25.0,-3.6638674871220913,0.0011681382145881918,-0.013048420080656337,-0.003657604883761067,271,26
H5 SW_stock x BIG_it,primary_boundary,CI,DxBIG,cluster,-0.008353012482208702,0.0030807262018035524,25.0,-2.711377751556951,0.011939359486987206,-0.014697886865300342,-0.0020081380991170605,271,26
H5 SW_stock x BIG_it,primary_boundary,CI,DxBIG,cluster_hc1,-0.008353012482208702,0.0034339774145345117,25.0,-2.4324599360654164,0.02249102001963628,-0.015425421356726608,-0.0012806036076907943,271,26
H5 SW_stock x BIG_it,primary_boundary,CI,DxBIG,cr2,-0.008353012482208702,0.003514232186160834,10.255065798944731,-2.376909674637649,0.038235221984136404,-0.016156891241516286,-0.0005491337229011186,271,26
H5 SW_stock x BIG_it,primary_boundary,CI,DxBIG,wild_cluster_rademacher_null,-0.008353012482208702,,,,0.005,,,271,26
H5 SW_stock x BIG_fixed_mean,robustness,CI,DxBIGfm,conventional,-0.0019061765738293992,0.0025332044182307346,25.0,-0.7524764129223845,0.4587917291287089,-0.007123408735180577,0.0033110555875217784,271,26
H5 SW_stock x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster,-0.0019061765738293992,0.0037443752090456453,25.0,-0.5090773406533795,0.6151620135714198,-0.009617861672832581,0.005805508525173782,271,26
H5 SW_stock x BIG_fixed_mean,robustness,CI,DxBIGfm,cluster_hc1,-0.0019061765738293992,0.004164520308763363,25.0,-0.4577181601968056,0.651108283870006,-0.010483166703451598,0.006670813555792798,271,26
H5 SW_stock x BIG_fixed_mean,robustness,CI,DxBIGfm,cr2,-0.0019061765738293992,0.004371906290268151,5.572487762419163,-0.43600581697566165,0.6792123861377187,-0.012805972789055774,0.008993619641396975,271,26
H5 SW_stock x BIG_fixed_mean,robustness,CI,DxBIGfm,wild_cluster_rademacher_null,-0.0019061765738293992,,,,0.608,,,271,26
H5 SW_stock x BIG_2015,robustness,CI,DxBIGf15,conventional,-0.002878949428286784,0.0013083817958115167,25.0,-2.2003893951315114,0.03723840474872461,-0.005573612178481191,-0.00018428667809237704,271,26
H5 SW_stock x BIG_2015,robustness,CI,DxBIGf15,cluster,-0.002878949428286784,0.0017494729404912252,25.0,-1.6456095785502227,0.11236048285168902,-0.006482056396227132,0.0007241575396535636,271,26
H5 SW_stock x BIG_2015,robustness,CI,DxBIGf15,cluster_hc1,-0.002878949428286784,0.0019457760463499666,25.0,-1.4795893050936333,0.15147483618942115,-0.006886350210768421,0.001128451354194853,271,26
H5 SW_stock x BIG_2015,robustness,CI,DxBIGf15,cr2,-0.002878949428286784,0.002222436488669296,8.464721699273463,-1.2954023401634218,0.22939119404009972,-0.00795533242478609,0.0021974335682125234,271,26
