hypothesis,test,role,construct,outcome,variable,coef,se_CR2,t,p_CR2,N,G,note
H1,CASA baseline,PRIMARY,Franchise capability,CI,z_CASA,0.001608965761287272,0.00039459608276198334,4.0775005925686925,0.0004059302982242727,273,26,
H2,Net-change baseline,PRIMARY,Software net change,CI,z_SW_delta,0.00039443871556604435,0.0003091650074652314,1.2758194040132527,0.21374646686593105,271,26,
H2,Post-2020 interaction,PRIMARY-TEMPORAL,Software net change,CI,SW_delta x Post2020,-0.0022843902078299163,0.0007751890017299709,-2.946881602721268,0.006857570517501242,271,26,
H3,Stock baseline,PRIMARY,Accumulated digital capital,CI,z_SW_stock,-0.0006088349012391229,0.0005222845610729746,-1.16571491217037,0.2547313392339595,271,26,
H4,H4R-A absolute contrast,PRIMARY,Software Stock,NonAsset/TA - AssetCost/TA,z_SW_stock,-0.0009803346197790237,0.00037056293289949925,-2.6455280135773895,0.013898744552640471,270,26,Valid absolute intensity contrast; not by itself a pure composition test.
H4,H4R-COMP direct share,PRIMARY,Software Stock,AssetCost/OPEX,z_SW_stock,0.018018511502598297,0.005887323909294924,3.0605605840967267,0.005218070533360552,270,26,Direct cost-composition test; NonAsset share coefficient is exact negative.
H4,Staff component,COMPONENT-PRIMARY,Software Stock,StaffCost/TA,z_SW_stock,-0.000941697991711033,0.00028950293588247863,-3.252809816385792,0.0032638902443909903,270,26,
H4a,Physical network primary,PRIMARY,Software Stock,ln(harmonized network count),z_SW_stock,-0.07453772732598254,0.024714838173715982,-3.015909989054785,0.00581153036229913,271,26,
H4a,Physical network intensity,SECONDARY-PRIMARY,Software Stock,network count per 1e14 TA,z_SW_stock,2.8401281313909212,4.339933576823215,0.6544174193260037,0.5188185792005946,271,26,
H4,H4R-A absolute contrast,SUPPLEMENTARY,Software net change,NonAsset/TA - AssetCost/TA,z_SW_delta,3.4795998148657784e-05,0.0003203527954488874,0.10861774469581464,0.9143727901757485,270,26,Valid absolute intensity contrast; not by itself a pure composition test.
H4,H4R-COMP direct share,SUPPLEMENTARY,Software net change,AssetCost/OPEX,z_SW_delta,0.00953859731476686,0.0032662226172740978,2.920375746686709,0.007305049291718614,270,26,Direct cost-composition test; NonAsset share coefficient is exact negative.
H4,Staff component,COMPONENT-SUPPLEMENTARY,Software net change,StaffCost/TA,z_SW_delta,-0.00024153662434810245,0.00024144711185095967,-1.0003707333521472,0.3267160612193102,270,26,
H4a,Physical network primary,SUPPLEMENTARY,Software net change,ln(harmonized network count),z_SW_delta,-0.055280232228117884,0.016218414469229864,-3.408485603386043,0.0022193957800401135,271,26,
H4a,Physical network intensity,SECONDARY-SUPPLEMENTARY,Software net change,network count per 1e14 TA,z_SW_delta,0.05770197394043397,3.115807055513021,0.018519110109317498,0.9853717433911469,271,26,
H5,BIG bank-year interaction,PRIMARY,Software Stock,CI,SW_stock x BIG_it,-0.008353012482208702,0.003514232186160834,-2.376909674637649,0.025427000499252714,271,26,
H5,BIG fixed bank mean,ROBUSTNESS,Software Stock,CI,SW_stock x BIG_fixed_mean,-0.0019061765738293992,0.004371906290268151,-0.43600581697566165,0.666574413024445,271,26,
H5,BIG fixed 2015,ROBUSTNESS,Software Stock,CI,SW_stock x BIG_2015,-0.002878949428286784,0.002222436488669296,-1.2954023401634218,0.20701599915662425,271,26,
H5,Continuous size interaction,ROBUSTNESS,Software Stock,CI,SW_stock x z_lnTA,-0.0029021987269191767,0.0009563208828900404,-3.034754106956877,0.005553594718477275,271,26,
H5,BIG bank-year interaction,SUPPLEMENTARY,Software net change,CI,SW_delta x BIG_it,-0.002578484039653403,0.0010990251135600884,-2.346155704577925,0.027199867460466036,271,26,
H5,BIG fixed bank mean,ROBUSTNESS,Software net change,CI,SW_delta x BIG_fixed_mean,-0.003940462963158781,0.0020237007815594576,-1.947156911271375,0.0628327326742363,271,26,
H5,BIG fixed 2015,ROBUSTNESS,Software net change,CI,SW_delta x BIG_2015,-0.005499515654616154,0.002105309052473513,-2.612212989895622,0.015001103539172079,271,26,
H5,Continuous size interaction,ROBUSTNESS,Software net change,CI,SW_delta x z_lnTA,-0.0016412178751695292,0.0004996479573524848,-3.2847484934511706,0.003016755617349023,271,26,
H5,BIG bank-year interaction,COMPARATOR,CASA franchise comparator,CI,CASA x BIG_it,-0.001141816385182736,0.000743025949308986,-1.5367113170739526,0.13692510266317284,273,26,
H5,BIG fixed bank mean,ROBUSTNESS,CASA franchise comparator,CI,CASA x BIG_fixed_mean,-0.0005066704470785652,0.0007176524022595967,-0.7060109399526362,0.48670908833856275,273,26,
H5,BIG fixed 2015,ROBUSTNESS,CASA franchise comparator,CI,CASA x BIG_2015,-0.0009802700290427648,0.0007920701614490135,-1.237605046564888,0.22736062067231946,273,26,
H5,Continuous size interaction,ROBUSTNESS,CASA franchise comparator,CI,CASA x z_lnTA,-0.0004483542420700663,0.0002490791241122524,-1.8000474494522738,0.0839331805024612,273,26,
