omitted_bank,coef,se_CR2,df_CR2,t_CR2,p_CR2,ci_low,ci_high,N,G,sign_positive,supported_5pct,supported_10pct,is_full_sample
[NONE — FULL PRIMARY SAMPLE],0.018455138545308867,0.005525973641594774,3.7884782486842665,3.339708030164036,0.031314450680174834,0.0027687648728931848,0.034141512217724546,270,26,True,True,True,True
ABB,0.019281779148231686,0.005562012819944525,3.5014526059728306,3.4666908855531906,0.03173026243551131,0.0029321262343468685,0.035631432062116504,259,25,True,True,True,False
ACB,0.01917823381800096,0.0057734535111779485,3.575277622132683,3.321795833441821,0.03470019803135937,0.002368899559624795,0.035987568076377124,259,25,True,True,True,False
BAB,0.017947492973692535,0.005523245023959566,4.238212267489535,3.24944718111132,0.02886283572549549,0.0029465204479791982,0.032948465499405874,259,25,True,True,True,False
BAOVIETBAN,0.018001837547628984,0.005180025467560468,3.448275748194682,3.47524112774429,0.03228405266364639,0.002665178016778628,0.03333849707847934,259,25,True,True,True,False
BVB,0.018227590915473428,0.005579044998727645,3.8233000609183523,3.2671525179722347,0.03298130128360799,0.0024512192171406745,0.034003962613806185,261,25,True,True,True,False
EIB,0.018689597391532895,0.005563590358117967,3.7509252135963593,3.359269138904603,0.031243537135834134,0.002829531992334818,0.034549662790730976,259,25,True,True,True,False
HDB,0.01833589501307889,0.0056603614582464625,3.91131236740267,3.239350551786001,0.03273641508915915,0.002478673231376863,0.03419311679478092,260,25,True,True,True,False
KLB,0.018035220188897746,0.005613468858038874,3.9426109843114667,3.212847642874168,0.033177299089415344,0.0023598524789624382,0.03371058789883305,259,25,True,True,True,False
LPB,0.018592892664541345,0.005675058931629499,4.183450736920204,3.2762466237866366,0.02865470983522651,0.0031051933194017767,0.034080592009680916,260,25,True,True,True,False
MBB,0.02444985013653773,0.005825436826334576,3.7103796000436295,4.1970844188043195,0.016058857897884245,0.007765566824245403,0.04113413344883006,259,25,True,True,True,False
MSB,0.017994514542602803,0.005669259157250887,3.7712135289703816,3.1740504435377805,0.03662153127434443,0.0018702805054959248,0.03411874857970968,259,25,True,True,True,False
NAB,0.016921633557572466,0.004948525559456722,4.495669498153788,3.4195303943080413,0.022290404056186475,0.0037596084828766183,0.030083658632268313,261,25,True,True,True,False
NVB,0.018851048835606184,0.005849880486429,3.7065523582372095,3.2224673443052874,0.03591556352489169,0.002089267462952637,0.03561283020825973,259,25,True,True,True,False
OCB,0.018486329325312367,0.005725701007872688,4.198047294566824,3.2286578184739563,0.02986790891058526,0.0028806814812104946,0.03409197716941424,260,25,True,True,True,False
PCB,0.018506446474463558,0.005609936085766332,3.7335318747843003,3.298869397357052,0.03319333183277268,0.0024824001368409718,0.034530492812086144,262,25,True,True,True,False
PGB,0.01852013519393941,0.005622445942654215,3.9908103238838377,3.2939641186121427,0.030206143707889037,0.0028955359699849754,0.03414473441789384,259,25,True,True,True,False
SGB,0.018434346967578244,0.005532247567900142,3.8269482027089974,3.33216233390208,0.031050345630755854,0.0027965256775552352,0.03407216825760125,260,25,True,True,True,False
SHB,0.01810419450032617,0.005630381017684412,4.100754822685313,3.215447488094122,0.031289098030897425,0.0026220678422707103,0.03358632115838163,259,25,True,True,True,False
SSB,0.01835294625597097,0.005761843727492855,4.2304886821427035,3.1852558180985007,0.03083872814603259,0.00269344551149623,0.03401244700044571,260,25,True,True,True,False
STB,0.018395661471051653,0.005888540897211199,3.694789243778109,3.123976175450153,0.03943480606618847,0.0014998004190994417,0.03529152252300387,259,25,True,True,True,False
TCB,0.01605104464190433,0.010260489066518491,2.3769219693205117,1.5643547337603316,0.23851873850121114,-0.022021806342295593,0.05412389562610425,259,25,True,False,False,False
TPB,0.018622619869141446,0.00541840917147509,4.3410149224003085,3.436916497037392,0.023159389412863596,0.004033513732671058,0.033211726005611834,259,25,True,True,True,False
VAB,0.018297461124749243,0.005534532233789018,3.927370834478527,3.306053764226168,0.030588394105374367,0.0028184135270890205,0.03377650872240946,261,25,True,True,True,False
VBB,0.01898079424046189,0.005300639218846162,3.9972389131965644,3.580850055400226,0.023177011349622547,0.004259850409977074,0.0337017380709467,261,25,True,True,True,False
VIB,0.017560407417926957,0.005763776997600615,3.9077958999773155,3.046684045069253,0.03933492941195798,0.0014075794092791132,0.0337132354265748,259,25,True,True,True,False
VPB,0.018226010913332574,0.005563514778818248,3.7782477989349776,3.2759885859787325,0.033291112439949706,0.002415018201273895,0.03403700362539125,259,25,True,True,True,False
