omitted_bank,coef,se_CR2,df_CR2,p_CR2,ci_low,ci_high,wild_p,bootstrap_reps,N,G,cr2_supported_5pct,wild_supported_5pct,wild_supported_10pct
[NONE — FULL PRIMARY SAMPLE],0.018455138545308867,0.005525973641594774,3.7884782486842665,0.031314450680174834,0.0027687648728931848,0.034141512217724546,0.002,999,270,26,True,True,True
ABB,0.019281779148231686,0.005562012819944525,3.5014526059728306,0.03173026243551131,0.0029321262343468685,0.035631432062116504,0.001,999,259,25,True,True,True
ACB,0.01917823381800096,0.0057734535111779485,3.575277622132683,0.03470019803135937,0.002368899559624795,0.035987568076377124,0.001,999,259,25,True,True,True
BAB,0.017947492973692535,0.005523245023959566,4.238212267489535,0.02886283572549549,0.0029465204479791982,0.032948465499405874,0.005,999,259,25,True,True,True
BAOVIETBAN,0.018001837547628984,0.005180025467560468,3.448275748194682,0.03228405266364639,0.002665178016778628,0.03333849707847934,0.003,999,259,25,True,True,True
BVB,0.018227590915473428,0.005579044998727645,3.8233000609183523,0.03298130128360799,0.0024512192171406745,0.034003962613806185,0.003,999,261,25,True,True,True
EIB,0.018689597391532895,0.005563590358117967,3.7509252135963593,0.031243537135834134,0.002829531992334818,0.034549662790730976,0.003,999,259,25,True,True,True
HDB,0.01833589501307889,0.0056603614582464625,3.91131236740267,0.03273641508915915,0.002478673231376863,0.03419311679478092,0.003,999,260,25,True,True,True
KLB,0.018035220188897746,0.005613468858038874,3.9426109843114667,0.033177299089415344,0.0023598524789624382,0.03371058789883305,0.002,999,259,25,True,True,True
LPB,0.018592892664541345,0.005675058931629499,4.183450736920204,0.02865470983522651,0.0031051933194017767,0.034080592009680916,0.003,999,260,25,True,True,True
MBB,0.02444985013653773,0.005825436826334576,3.7103796000436295,0.016058857897884245,0.007765566824245403,0.04113413344883006,0.003,999,259,25,True,True,True
MSB,0.017994514542602803,0.005669259157250887,3.7712135289703816,0.03662153127434443,0.0018702805054959248,0.03411874857970968,0.003,999,259,25,True,True,True
NAB,0.016921633557572466,0.004948525559456722,4.495669498153788,0.022290404056186475,0.0037596084828766183,0.030083658632268313,0.004,999,261,25,True,True,True
NVB,0.018851048835606184,0.005849880486429,3.7065523582372095,0.03591556352489169,0.002089267462952637,0.03561283020825973,0.004,999,259,25,True,True,True
OCB,0.018486329325312367,0.005725701007872688,4.198047294566824,0.02986790891058526,0.0028806814812104946,0.03409197716941424,0.005,999,260,25,True,True,True
PCB,0.018506446474463558,0.005609936085766332,3.7335318747843003,0.03319333183277268,0.0024824001368409718,0.034530492812086144,0.003,999,262,25,True,True,True
PGB,0.01852013519393941,0.005622445942654215,3.9908103238838377,0.030206143707889037,0.0028955359699849754,0.03414473441789384,0.003,999,259,25,True,True,True
SGB,0.018434346967578244,0.005532247567900142,3.8269482027089974,0.031050345630755854,0.0027965256775552352,0.03407216825760125,0.004,999,260,25,True,True,True
SHB,0.01810419450032617,0.005630381017684412,4.100754822685313,0.031289098030897425,0.0026220678422707103,0.03358632115838163,0.005,999,259,25,True,True,True
SSB,0.01835294625597097,0.005761843727492855,4.2304886821427035,0.03083872814603259,0.00269344551149623,0.03401244700044571,0.005,999,260,25,True,True,True
STB,0.018395661471051653,0.005888540897211199,3.694789243778109,0.03943480606618847,0.0014998004190994417,0.03529152252300387,0.005,999,259,25,True,True,True
TCB,0.01605104464190433,0.010260489066518491,2.3769219693205117,0.23851873850121114,-0.022021806342295593,0.05412389562610425,0.002,999,259,25,False,True,True
TPB,0.018622619869141446,0.00541840917147509,4.3410149224003085,0.023159389412863596,0.004033513732671058,0.033211726005611834,0.002,999,259,25,True,True,True
VAB,0.018297461124749243,0.005534532233789018,3.927370834478527,0.030588394105374367,0.0028184135270890205,0.03377650872240946,0.002,999,261,25,True,True,True
VBB,0.01898079424046189,0.005300639218846162,3.9972389131965644,0.023177011349622547,0.004259850409977074,0.0337017380709467,0.002,999,261,25,True,True,True
VIB,0.017560407417926957,0.005763776997600615,3.9077958999773155,0.03933492941195798,0.0014075794092791132,0.0337132354265748,0.004,999,259,25,True,True,True
VPB,0.018226010913332574,0.005563514778818248,3.7782477989349776,0.033291112439949706,0.002415018201273895,0.03403700362539125,0.002,999,259,25,True,True,True
