variable,Mã,year
CASA,BVB,2015
CASA,BVB,2017
CASA,LPB,2015
CASA,LPB,2016
CASA,MSB,2016
CASA,MSB,2017
CASA,OCB,2015
CASA,PCB,2015
CASA,PCB,2016
CASA,VAB,2018
CASA,VAB,2019
CASA,VBB,2015
SW_delta,LPB,2015
SW_delta,NAB,2015
SW_delta,NAB,2017
SW_delta,OCB,2015
SW_delta,PCB,2015
SW_delta,PCB,2016
SW_delta,PCB,2017
SW_delta,SGB,2015
SW_delta,SSB,2015
SW_delta,VAB,2019
SW_delta,VBB,2015
SW_delta,VBB,2016
SW_stock,LPB,2015
SW_stock,NAB,2015
SW_stock,NAB,2017
SW_stock,OCB,2015
SW_stock,PCB,2015
SW_stock,PCB,2016
SW_stock,PCB,2017
SW_stock,SGB,2015
SW_stock,SSB,2015
SW_stock,VAB,2019
SW_stock,VBB,2015
SW_stock,VBB,2016
network_count_harmonized,VBB,2015
network_count_harmonized,VBB,2016
branch_den,VBB,2015
branch_den,VBB,2016
NPL_ratio,BVB,2015
NPL_ratio,BVB,2017
NPL_ratio,OCB,2015
NPL_ratio,PCB,2015
NPL_ratio,PCB,2016
NPL_ratio,VAB,2018
NPL_ratio,VAB,2019
NPL_ratio,VBB,2015
