family,specification,predictor,outcome,role,coef,se_CR2,t,p_CR2,N,G,note
aggregate_intensity,without_network_control,SW_stock,CI,PRIMARY,-0.0005588059547559025,0.00047948079246959354,-1.1654397079760799,0.2548406063160754,271,26,Broader conditional association.
aggregate_intensity,conditional_on_network,SW_stock,CI,PRIMARY,-0.0006088349012391585,0.0005222845610728911,-1.1657149121706247,0.2547313392338585,271,26,Conditional association; network control changes the estimand.
aggregate_intensity,without_network_control,SW_delta,CI,SECONDARY,0.00039883630000464636,0.00031381146940330095,1.2709423934154367,0.2154484287168421,271,26,Broader conditional association.
aggregate_intensity,conditional_on_network,SW_delta,CI,SECONDARY,0.0003944387155660614,0.0003091650074652828,1.2758194040130957,0.21374646686598534,271,26,Conditional association; network control changes the estimand.
scale_sensitivity,scale_without_network,log1p software stock,CI,SENSITIVITY,0.0029324567131000156,0.0024775596832324115,1.1836068906619077,0.24770152448051944,271,26,Alternative scale transform; not substituted for the accounting-level baseline.
scale_sensitivity,scale_conditional_on_network,log1p software stock,CI,SENSITIVITY,0.0026761930205633317,0.0024201164016724353,1.105811695137446,0.27933636751882956,271,26,Alternative scale transform; not substituted for the accounting-level baseline.
scale_sensitivity,scale_without_network,signed log software flow,CI,SENSITIVITY,0.0002397404831511359,0.00016392079124537802,1.4625385915338895,0.15605248741778,271,26,Alternative scale transform; not substituted for the accounting-level baseline.
scale_sensitivity,scale_conditional_on_network,signed log software flow,CI,SENSITIVITY,0.000252260853601402,0.00016872901681513376,1.4950650360144577,0.1474145247646478,271,26,Alternative scale transform; not substituted for the accounting-level baseline.
composition,composition_without_network,SW_stock,AssetCostShare,PRIMARY,0.018455138545308867,0.005525973641594774,3.339708030164036,0.002633225729411605,270,26,Primary composition outcome.
composition,composition_conditional_on_network,SW_stock,AssetCostShare,PRIMARY,0.01801851150259856,0.005887323909294222,3.060560584097136,0.00521807053335539,270,26,Primary composition outcome.
composition,composition_without_network,SW_stock,StaffShare,SECONDARY,-0.035063820327895234,0.011438488152084904,-3.0654243691727845,0.0051570462340462305,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_conditional_on_network,SW_stock,StaffShare,SECONDARY,-0.03472558152476043,0.01165984556341025,-2.9782196801759317,0.006362175414180077,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_without_network,SW_stock,OtherShare,SECONDARY,0.01660868178258543,0.008649087174108921,1.9202814641877572,0.06630026750347422,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_conditional_on_network,SW_stock,OtherShare,SECONDARY,0.016707070022162884,0.008896523975647521,1.8779323326610697,0.07210356676426606,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_without_network,SW_stock,NonAssetMinusAsset,SECONDARY,-0.0009722782595291662,0.0003522510538768863,-2.7601855234448296,0.010657900263399038,270,26,Accounting contrast; secondary to the primary share.
composition,composition_conditional_on_network,SW_stock,NonAssetMinusAsset,SECONDARY,-0.0009803346197790178,0.0003705629328994043,-2.6455280135780512,0.013898744552619339,270,26,Accounting contrast; secondary to the primary share.
composition,composition_without_network,SW_delta,AssetCostShare,SECONDARY,0.00957096600182322,0.0031195931927766687,3.0680173376402173,0.00512479305314975,270,26,Primary composition outcome.
composition,composition_conditional_on_network,SW_delta,AssetCostShare,SECONDARY,0.009538597314767134,0.003266222617273579,2.9203757466872564,0.007305049291709091,270,26,Primary composition outcome.
composition,composition_without_network,SW_delta,StaffShare,SECONDARY,-0.028087326326389574,0.005538718771229364,-5.071087283269911,3.1012373755692405e-05,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_conditional_on_network,SW_delta,StaffShare,SECONDARY,-0.028056309847739068,0.005480263566334155,-5.119518342163683,2.7364723031171428e-05,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_without_network,SW_delta,OtherShare,SECONDARY,0.018516360324566772,0.005982066910911787,3.095311470152798,0.004796807326860548,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_conditional_on_network,SW_delta,OtherShare,SECONDARY,0.018517712532972037,0.006021994451636849,3.075013217247104,0.005038734467415242,270,26,Shares sum to one; component coefficients are not independent evidence.
composition,composition_without_network,SW_delta,NonAssetMinusAsset,SECONDARY,3.4981779283711084e-05,0.00032141159519343427,0.10883795048731236,0.9141999049433973,270,26,Accounting contrast; secondary to the primary share.
composition,composition_conditional_on_network,SW_delta,NonAssetMinusAsset,SECONDARY,3.479599814865399e-05,0.00032035279544888746,0.10861774469580278,0.9143727901757578,270,26,Accounting contrast; secondary to the primary share.
network_outcome,network_as_outcome,SW_stock,ln(harmonized network count),PRIMARY,-0.07453772732599123,0.024714838173714653,-3.0159099890552983,0.005811530362291956,271,26,Network is the outcome; branch_den is not included as a control.
network_outcome,network_as_outcome,SW_delta,ln(harmonized network count),SECONDARY,-0.05528023222810943,0.01621841446923186,-3.4084856033851025,0.0022193957800453108,271,26,Network is the outcome; branch_den is not included as a control.
temporal_heterogeneity,descriptive_post2020_slope,SW_stock,CI,PRIMARY,-0.0026588084052355243,0.001438711861915549,-1.8480478792296173,0.07645985952261498,271,26,Descriptive slope change; not a treatment effect or COVID/policy estimate.
temporal_heterogeneity,descriptive_post2020_slope,SW_delta,CI,SECONDARY,-0.0021103876230514065,0.0006980986047522299,-3.023050910981878,0.005712467019320395,271,26,Descriptive slope change; not a treatment effect or COVID/policy estimate.
