Mã,Tên công ty,gross_end,year,gross_begin,SW_stock,SW_delta
ABB,Ngân hàng An Bình,186283.0,2014,184883.0,186283.0,1400.0
ABB,Ngân hàng An Bình,193808.0,2015,186283.0,193808.0,7525.0
ABB,Ngân hàng An Bình,203578.0,2016,193808.0,203578.0,9770.0
ABB,Ngân hàng An Bình,223878.0,2017,203578.0,223878.0,20300.0
ABB,Ngân hàng An Bình,302543.0,2018,223878.0,302543.0,78665.0
ABB,Ngân hàng An Bình,363838.0,2019,302543.0,363838.0,61295.0
ABB,Ngân hàng An Bình,393585.0,2020,363838.0,393585.0,29747.0
ABB,Ngân hàng An Bình,410369.0,2021,393585.0,410369.0,16784.0
ABB,Ngân hàng An Bình,452772.0,2022,410369.0,452772.0,42403.0
ABB,Ngân hàng An Bình,497688.0,2023,452772.0,497688.0,44916.0
ABB,Ngân hàng An Bình,521741.0,2024,497688.0,521741.0,24053.0
ABB,Ngân hàng An Bình,544841.0,2025,521741.0,544841.0,23100.0
ACB,ACB,324307.0,2014,176926.0,324307.0,147381.0
ACB,ACB,357928.0,2015,324307.0,357928.0,33621.0
ACB,ACB,428105.0,2016,357928.0,428105.0,70177.0
ACB,ACB,447559.0,2017,428105.0,447559.0,19454.0
ACB,ACB,526382.0,2018,447559.0,526382.0,78823.0
ACB,ACB,592512.0,2019,526382.0,592512.0,66130.0
ACB,ACB,676176.0,2020,592512.0,676176.0,83664.0
ACB,ACB,723927.0,2021,676176.0,723927.0,47751.0
ACB,ACB,835179.0,2022,723927.0,835179.0,111252.0
ACB,ACB,949476.0,2023,835179.0,949476.0,114297.0
ACB,ACB,1107472.0,2024,949476.0,1107472.0,157996.0
ACB,ACB,1290183.0,2025,1107472.0,1290183.0,182711.0
AGRB,Agribank,817870.0,2014,823963.0,817870.0,-6093.0
AGRB,Agribank,834641.0,2015,817870.0,834641.0,16771.0
AGRB,Agribank,1073778.0,2016,834641.0,1073778.0,239137.0
AGRB,Agribank,1103143.0,2017,1073778.0,1103143.0,29365.0
AGRB,Agribank,1109511.0,2018,1103143.0,1109511.0,6368.0
AGRB,Agribank,1288786.0,2019,1109511.0,1288786.0,179275.0
AGRB,Agribank,1365853.0,2020,1288786.0,1365853.0,77067.0
AGRB,Agribank,1373952.0,2021,1365853.0,1373952.0,8099.0
AGRB,Agribank,1382202.0,2022,1373952.0,1382202.0,8250.0
AGRB,Agribank,1646074.0,2023,1382202.0,1646074.0,263872.0
AGRB,Agribank,1732305.0,2024,1646074.0,1732305.0,86231.0
AGRB,Agribank,1697810.0,2025,1732305.0,1697810.0,-34495.0
BAB,Ngân hàng Bắc Á,60.098,2014,59.303,60.098,0.7950000000000017
BAB,Ngân hàng Bắc Á,60.098,2015,60.098,60.098,0.0
BAB,Ngân hàng Bắc Á,69.766,2016,60.098,69.766,9.668000000000006
