domain,test,outcome,variable,coef,se,t,p,N,G
Baseline,All 3 jointly,CI,z_CASA,0.0017701185443110257,0.00032625163883934373,5.425623456201813,1.2441553943960734e-05,268,26
Baseline,All 3 jointly,CI,z_SW_delta,0.001962979552615771,0.0005776777649949659,3.398052810000186,0.002277836555736659,268,26
Baseline,All 3 jointly,CI,z_SW_stock,-0.0028868264968042795,0.0007514556775371776,-3.8416457325408344,0.0007432454672791308,268,26
Temporal,All 3 x Post2020,CI,CASAxPost,0.0002642534540613134,0.0006203301610384264,0.42598840207762234,0.6737615696033572,268,26
Temporal,All 3 x Post2020,CI,SW_deltaxPost,0.0012503178800838174,0.0009044255963795235,1.382444155814391,0.1790619358498005,268,26
Temporal,All 3 x Post2020,CI,SW_stockxPost,-0.00451329052681639,0.0031970339704880646,-1.411711783008481,0.17036082776632255,268,26
H4 joint,NonAssetMinusAsset_raw,NonAssetMinusAsset_raw,z_CASA,0.0015803419027773736,0.0004023427610102299,3.9278497239750063,0.0005961733166201574,267,26
H4 joint,NonAssetMinusAsset_raw,NonAssetMinusAsset_raw,z_SW_delta,0.001609963461300849,0.0005844355413362024,2.7547322971152113,0.010794366612971257,267,26
H4 joint,NonAssetMinusAsset_raw,NonAssetMinusAsset_raw,z_SW_stock,-0.0028621848324160873,0.0008078962835452218,-3.5427627168381166,0.001585722401622994,267,26
H4 joint,AssetCostShare_raw,AssetCostShare_raw,z_CASA,-0.014753712434369804,0.009347822221264698,-1.5783047735768476,0.12706662607280783,267,26
H4 joint,AssetCostShare_raw,AssetCostShare_raw,z_SW_delta,-0.0033926435282038165,0.006769184575294388,-0.5011893959260628,0.6206224814929862,267,26
H4 joint,AssetCostShare_raw,AssetCostShare_raw,z_SW_stock,0.02371049468639565,0.012377208733298464,1.9156576573365198,0.0669134139956525,267,26
H4 joint,Staff_raw,Staff_raw,z_CASA,0.0008498431927128704,0.0002552894886896161,3.328939225328308,0.0027044509956704963,267,26
H4 joint,Staff_raw,Staff_raw,z_SW_delta,0.0008829353519896348,0.0005071395171344916,1.7410107517917668,0.09397701384076117,267,26
H4 joint,Staff_raw,Staff_raw,z_SW_stock,-0.001985929140615618,0.000662017187265455,-2.999815078546144,0.006040862881549982,267,26
H4 joint,AssetCost_raw,AssetCost_raw,z_CASA,9.021526113742595e-05,0.0001395842633924377,0.6463139822845787,0.5239654594334666,267,26
H4 joint,AssetCost_raw,AssetCost_raw,z_SW_delta,0.00026722097578496274,0.00013717393305455336,1.9480448641702963,0.06272093077887073,267,26
H4 joint,AssetCost_raw,AssetCost_raw,z_SW_stock,-0.00011690188208299037,0.00019672169294264555,-0.59425008159661,0.557684766082458,267,26
H4 joint,Other_raw,Other_raw,z_CASA,0.0008207139712019302,0.0002638378506465025,3.1106756259227804,0.004621136449422104,267,26
H4 joint,Other_raw,Other_raw,z_SW_delta,0.000994249085096177,0.00018847147551950063,5.27532923672211,1.8309318281060555e-05,267,26
H4 joint,Other_raw,Other_raw,z_SW_stock,-0.00099315757388346,0.0002834909236127435,-3.503313479059178,0.0017508834956969713,267,26
Physical network,All 3 jointly,lnNetwork,z_CASA,-0.026114406936066592,0.058256496507243155,-0.4482660046818938,0.6578221955643405,268,26
Physical network,All 3 jointly,lnNetwork,z_SW_delta,-0.02816031122539553,0.02151773907962183,-1.308702142041702,0.20253881416097383,268,26
Physical network,All 3 jointly,lnNetwork,z_SW_stock,-0.03745864558121281,0.02810092661168913,-1.3330039289747533,0.19455179625398017,268,26
Scale,All 3 x BIG,CI,CASAxBIG,-0.0006088856745945148,0.0006672694804320141,-0.9125034074693487,0.3702199483626869,268,26
Scale,All 3 x BIG,CI,SW_deltaxBIG,-0.0005846065661072152,0.0011234723807342338,-0.520356865137309,0.6073929015031247,268,26
Scale,All 3 x BIG,CI,SW_stockxBIG,-0.0037483921050583957,0.0033380253555903515,-1.1229369779294167,0.2721330214346054,268,26
