Mã,year,opex,dd,td,ta,eq,gl,n3,n4,n5,ie,CI,CASA,lnTA,eq_ratio,loan_ratio,dep_depth,NPL_ratio,cost_dep,SOE,branch_count_legacy,branch_den_legacy,SW_stock,SW_delta,Land_stock,Land_delta,staff,phys,StaffRatio,PhysCost,fee_income,network_count_harmonized,branch_count,branch_den,CI_raw,Staff_raw,AssetCost_raw,Other_raw,NonAsset_raw,NonAssetMinusAsset_raw,AssetCostShare_raw,NonAssetShare_raw,AssetCostShare_ex_sw_raw,SW_khauhao_vnd
ABB,2015,1190073000000.0,10278399000000.0,47529915000000.0,64374686000000.0,5790261000000.0,30915308000000.0,77417000000.0,77144000000.0,594792000000.0,2441841000000.0,0.0184866610456165,0.2162511546675393,31.79574159723065,0.0899462406698185,0.4802401366276179,0.7383323780406479,2.4238898088933807,0.0513748236242374,0,145.0,225.24381711158944,193808.0,7525.0,346695.0,0.0,538052000000.0,262372000000.0,0.4521168029188125,0.672583950732434,57557000000.0,145.0,145.0,225.24381711158946,0.018486661045616595,0.008358130088587927,0.0040757014333242724,0.006052829523704396,0.014410959612292322,0.010335258178968049,0.2204671478136215,0.7795328521863785,0.20223969453974672,21692000000.0
ABB,2016,1299207000000.0,10224981000000.0,51524592000000.0,74171503000000.0,5842462000000.0,39796167000000.0,165416000000.0,183624000000.0,671295000000.0,2663061000000.0,0.0175162555354985,0.1984485583117281,31.937401135729484,0.0787696320512744,0.5365425451874691,0.6946683013825404,2.563902699473545,0.0516852418744043,0,159.0,214.368043748554,203578.0,9770.0,240663.0,-106032.0,615529000000.0,304751000000.0,0.4737728475908765,0.708339779573232,137052000000.0,159.0,159.0,214.36804374855393,0.017516255535498588,0.00829872626418262,0.004108734320780853,0.005108794950535116,0.013407521214717735,0.009298786893936883,0.23456693198235534,0.7654330680176447,0.21789291467795355,21663000000.0
ABB,2017,1603068000000.0,12179501000000.0,57897880000000.0,84503069000000.0,6118589000000.0,47902493000000.0,172679000000.0,222058000000.0,932287000000.0,3208348000000.0,0.0189705299342441,0.210361778358724,32.06780896915877,0.0724067075007654,0.5668728197315532,0.6851571272517925,2.7702608296399105,0.0554139115283668,0,165.0,195.25918046834488,223878.0,20300.0,220023.0,-20640.0,732587000000.0,356695000000.0,0.4569905955330653,0.6794983119867654,186296000000.0,165.0,165.0,195.25918046834488,0.018970529934244165,0.008669353772228083,0.004221089295585229,0.006080086866430853,0.014749440638658936,0.010528351343073707,0.22250771645370002,0.7774922835463,0.2089268827024181,21771000000.0
ABB,2018,1670432000000.0,11342439000000.0,62259884000000.0,89997891000000.0,6868745000000.0,52184147000000.0,142084000000.0,189921000000.0,652225000000.0,3439575000000.0,0.0185607904967461,0.1821789292122677,32.13080735265091,0.076321177348478,0.5798374430796384,0.6917926998978232,1.8860708789587,0.0552454450445169,0,165.0,183.337629545119,302543.0,78665.0,295398.0,75375.0,795374000000.0,376903000000.0,0.476148684891094,0.7017807369590621,333819000000.0,165.0,165.0,183.337629545119,0.018560790496746197,0.008837695985564817,0.004187909247784484,0.005535185263396896,0.014372881248961713,0.010184972001177229,0.22563205206796802,0.774367947932032,0.21357708664584965,20137000000.0
ABB,2019,1870980000000.0,7873924000000.0,69574328000000.0,102556924000000.0,7842779000000.0,56802965000000.0,291751000000.0,423449000000.0,597179000000.0,4047648000000.0,0.0182433318690408,0.1131728358195569,32.26143911645144,0.0764724476330823,0.5538676745024061,0.6783971796970042,2.310405803640708,0.0581773208071804,0,165.0,160.88626059026495,363838.0,61295.0,230480.0,-64918.0,877938000000.0,420484000000.0,0.4692396498091909,0.6939796256507285,193464000000.0,165.0,165.0,160.88626059026495,0.018243331869040848,0.00856049465758158,0.004100005963517393,0.005582831247941875,0.014143325905523455,0.010043319942006062,0.2247399758415376,0.7752600241584624,0.21132187409806621,25105000000.0
ABB,2020,1858323000000.0,12498186000000.0,72508223000000.0,116366981000000.0,8911349000000.0,63293151000000.0,208448000000.0,493346000000.0,621992000000.0,4303080000000.0,0.0159695042702878,0.1723692221777383,32.38776994259952,0.0765797043407012,0.5439098828214852,0.6230996316730086,2.0915153995098144,0.0593460965110122,0,165.0,141.7927994539963,393585.0,29747.0,230480.0,0.0,928879000000.0,472511000000.0,0.499847981217474,0.7541154040497804,193827000000.0,165.0,165.0,141.7927994539963,0.015969504270287805,0.00798232447054719,0.004060524694715591,0.003926655105025024,0.011908979575572215,0.007848454880856625,0.25426742283230636,0.7457325771676937,0.2389729880112338,28422000000.0
ABB,2021,1829863000000.0,11075462000000.0,67839732000000.0,120936804000000.0,11729061000000.0,68983999000000.0,334497000000.0,418614000000.0,863651000000.0,3402696000000.0,0.015130737207178,0.1632592239603776,32.426289244097326,0.0969850418736053,0.5704136104010157,0.5609519166721157,2.343676828593251,0.0501578632415588,0,165.0,136.4348937152333,410369.0,16784.0,228460.0,-2020.0,991083000000.0,494552000000.0,0.5416159570415927,0.8118831846974336,352239000000.0,165.0,165.0,136.4348937152333,0.015130737207178056,0.008195048713210579,0.004089342397373094,0.002846346096594383,0.011041394809804962,0.006952052412431868,0.2702672276558409,0.7297327723441591,0.2546064923986113,28657000000.0
ABB,2022,2006536000000.0,9991258000000.0,84124615000000.0,130146645000000.0,13053393000000.0,82010652000000.0,540524000000.0,420714000000.0,1404371000000.0,4395195000000.0,0.0154175007738386,0.1187673548342539,32.49968296908835,0.1002975758614446,0.630140346683543,0.6463832778785807,2.884514318944812,0.0522462420778983,0,165.0,126.78006413457682,452772.0,42403.0,347249.0,118789.0,1038874000000.0,518873000000.0,0.5177450093095763,0.7763364325384643,232042000000.0,165.0,165.0,126.78006413457682,0.015417500773838619,0.007982334081681475,0.00398683346773941,0.003448333224417734,0.011430667306099209,0.007443833838359799,0.25859142322888795,0.741408576771112,0.2434399382816954,30402000000.0
ABB,2023,2252222000000.0,11237895000000.0,100034291000000.0,162099173000000.0,13479217000000.0,98107189000000.0,732173000000.0,1089785000000.0,1035207000000.0,7705863000000.0,0.0138940992623077,0.1123404273440594,32.71922944286815,0.0831541379918082,0.6052294233481377,0.6171178368689149,2.9122891289852366,0.0770322148831944,0,165.0,101.78953843274697,497688.0,44916.0,370841.0,23592.0,1246455000000.0,574631000000.0,0.5534334537181503,0.8085730447531371,748954000000.0,165.0,165.0,101.78953843274697,0.013894099262307773,0.0076894593410417955,0.0035449348035847166,0.0026597051176812606,0.010349164458723057,0.0068042296551383405,0.2551395910349868,0.7448604089650133,0.2396935115632473,34788000000.0
ABB,2024,2364544000000.0,10996000000000.0,90719121000000.0,176713113000000.0,14024232000000.0,98738176000000.0,630133000000.0,954041000000.0,2107037000000.0,5992439000000.0,0.013380693485944,0.1212092872901623,32.80554870302705,0.0793615808239426,0.5587484387760178,0.5133694917139511,3.738382811527732,0.0660548617969964,0,165.0,93.37167864843173,521741.0,24053.0,346394.0,-24447.0,1215137000000.0,597168000000.0,0.5138990858279652,0.7664501062361284,499749000000.0,165.0,165.0,93.37167864843171,0.01338069348594408,0.006876326150170871,0.0033793077936440405,0.003125059542129168,0.010001385692300038,0.006622077898655997,0.2525510204081633,0.7474489795918366,0.23612248281275375,38846000000.0
ABB,2025,2999921000000.0,11855247000000.0,133411372000000.0,220494731000000.0,16800695000000.0,113891373000000.0,177703000000.0,250317000000.0,569081000000.0,8515301000000.0,0.0136054090108847,0.0888623422596988,33.02689491483833,0.0761954488608619,0.5165265060234024,0.60505469402804,0.8754842212675757,0.0638273999610767,0,165.0,74.83172012849595,544841.0,23100.0,346394.0,0.0,1539919000000.0,694309000000.0,0.5133198507560699,0.7447622787400068,260547000000.0,165.0,165.0,74.83172012849595,0.013605409010884709,0.006983926522942627,0.0031488688951936904,0.003472613592748391,0.010456540115691018,0.007307671220497327,0.2314424279839369,0.7685575720160631,0.21828174808603296,39481000000.0
ACB,2015,4021683000000.0,26599343000000.0,174918997000000.0,201456985000000.0,12787542000000.0,135348271000000.0,174499000000.0,530241000000.0,1065953000000.0,8198265000000.0,0.0199629861431709,0.1520666334486242,32.936597000581074,0.0634752972203967,0.6718469999935718,0.8682697053169935,1.3082494419156636,0.04686892299068,0,345.0,171.25243882707764,357928.0,33621.0,239367.0,7585.0,1998639000000.0,239613000000.0,0.4969658225175878,0.5565461027137146,745226000000.0,345.0,345.0,171.25243882707764,0.01996298614317096,0.009920921828548163,0.0011894003079615234,0.008852664006661274,0.01877358583520944,0.017584185527247914,0.05958028019612685,0.9404197198038733,0.059580031544007823,1000000.0
