omitted,coef,p,df,N,G,wild_p
ABB,0.012905415951107349,0.054754825002079795,3.3894127065600514,250,24,0.003
ACB,0.012834933799941956,0.0608874834491225,3.4184630584766853,250,24,0.004
BAB,0.011463677745805215,0.05463033238599823,4.227557675365662,250,24,0.008
BAOVIETBAN,0.011346824802653633,0.059120542687472605,3.3240871991155174,250,24,0.003
BVB,0.011876022831926767,0.06046933986685599,3.6876696219988094,252,24,0.005
EIB,0.012432687613335115,0.05495057479332596,3.6049114834279967,250,24,0.002
HDB,0.01205731972841478,0.059338344983543095,3.7497252027322023,251,24,0.004
KLB,0.01153594784840767,0.06479406745204758,3.83704966461645,250,24,0.007
LPB,0.012249136662255295,0.052305148739216954,4.152660988371596,251,24,0.006
MBB,0.016938792898135158,0.05827334133793257,3.281649612560954,250,24,0.01
MSB,0.01214570147745489,0.06009279967960451,3.615912143142712,250,24,0.006
NAB,0.011168721182675553,0.038529036027607766,4.7465589221340565,252,24,0.008
NVB,0.012413695038265367,0.06497074762213507,3.6621473485269918,250,24,0.005
OCB,0.012178865021063462,0.054249336992829765,4.124700253688352,251,24,0.007
PCB,0.012054209406287937,0.061513834688879394,3.686090916376062,253,24,0.006
PGB,0.012174868105964026,0.05585851905737637,3.868154240151289,250,24,0.006
SGB,0.012073068948145685,0.056696103026681044,3.7322841274009324,251,24,0.006
SHB,0.011790973018923932,0.059202020302818494,3.9840000104937077,250,24,0.006
SSB,0.011899342642015634,0.057741135498868085,4.255000342911346,251,24,0.009
STB,0.01198615089492176,0.07028856009108259,3.470886148441935,250,24,0.009
TCB,0.010780654555758155,0.3513934263083637,2.3808472778817715,250,24,0.005
TPB,0.01210829567906517,0.0410653058823109,4.57968086958887,250,24,0.008
VAB,0.011809228466966986,0.05771611156557736,3.8883997760137734,252,24,0.007
VIB,0.01117011783620634,0.07791657466166568,3.592272208471793,250,24,0.007
VPB,0.011831450233536666,0.05987954149877455,3.645849456156814,250,24,0.006
