bank,influence,v_g,share_of_variance
LPB,-0.015015811962297768,0.00022547460888708474,0.36913234354393454
MSB,0.010542041127567035,0.00011113463113531485,0.18194237942070698
TCB,-0.008921256701752783,7.958882113856895e-05,0.1302976340076127
MBB,0.007198532972697267,5.1818876959009755e-05,0.08483449017212032
BAB,-0.0064927426727138535,4.2155707414079435e-05,0.06901457839673804
VIB,0.005169414554623475,2.6722846837553026e-05,0.04374890426908994
NAB,-0.003633527302843687,1.3202520660510518e-05,0.02161430688872842
BVB,-0.0034919101129640582,1.2193436237020662e-05,0.019962299596576832
STB,-0.002837341499641843,8.050506785589821e-06,0.01317976534541552
TPB,-0.002668870157010266,7.122867914980003e-06,0.011661095407541799
ACB,0.0025364927473561726,6.4337954573904645e-06,0.010532990862213659
SSB,0.0024976613503899536,6.238312221231766e-06,0.01021295844063421
BAOVIETBAN,0.002210313045227974,4.885483757904959e-06,0.00799819579598164
VBB,0.002156506727479044,4.650521265662376e-06,0.00761353050779452
NVB,0.0020370441982997724,4.149549065826763e-06,0.006793371452686508
ABB,0.0014202386152027632,2.0170777241130626e-06,0.003302228269015393
SHB,0.001231433416873451,1.5164282601926225e-06,0.0024825975761265306
OCB,0.0010111598287748322,1.022444199327948e-06,0.0016738790469743475
KLB,0.0009158280963598613,8.387411020821274e-07,0.0013731323015322124
VAB,0.0008936156426929108,7.98548916865464e-07,0.0013073322737844819
EIB,0.0007944815305459556,6.312009023786441e-07,0.0010333610045588652
PGB,0.00032034439707907483,1.0262053273995596e-07,0.00016800365208748263
HDB,0.00023916592393354502,5.720033917098624e-08,9.364466958790903e-05
PCB,0.00011430332971025964,1.3065251182852325e-08,2.138957824085483e-05
SGB,-4.881496447354679e-05,2.382900756553635e-09,3.9011299101077715e-06
VPB,3.20949595425642e-05,1.0300864280388329e-09,1.686390406048754e-06
