bank,null_resid_ss,share
LPB,1.4595534483334183,0.3132585711263679
TPB,0.7150458649356267,0.15346765560063502
BVB,0.44309145419372775,0.09509908388591184
BAB,0.420251535218732,0.09019703635149723
NVB,0.2964716313054873,0.06363061230015656
TCB,0.2535306524564225,0.054414348454262254
MSB,0.21227545571616205,0.04555989780214818
NAB,0.1510986357851183,0.03242974267179901
VIB,0.13568066191193023,0.029120639828944257
MBB,0.09216551393021107,0.01978114418068908
BAOVIETBAN,0.07178248172117693,0.015406409187382996
SHB,0.06608003724667628,0.014182514570814314
STB,0.056771700720226956,0.012184700648228323
ACB,0.05016838450464288,0.010767455253925431
KLB,0.0387595581069546,0.008318820940704859
OCB,0.033610462113583955,0.007213689466884845
PGB,0.029821118739421743,0.006400396680483193
ABB,0.02805632794534759,0.0060216261441113405
VBB,0.025047346644975696,0.005375819590211756
HDB,0.02006244518189161,0.004305928582578892
SSB,0.016122339502546153,0.0034602782389015225
VPB,0.012413649809496356,0.0026642958544794673
EIB,0.009538724837463266,0.0020472613156875255
PCB,0.00899714951413973,0.0019310250023580281
VAB,0.006824239679698452,0.001464661382237956
SGB,0.006040195805960018,0.001296384938598204
