label,coef,se_CR2,df_CR2,t_CR2,p_CR2,ci_low,ci_high,wild_p,N,G
H4 PRIMARY reproduction: SW_stock -> AssetCostShare_raw,0.018455138545308867,0.005525973641594774,3.7884782486842665,3.339708030164036,0.031314450680174834,0.0027687648728931848,0.034141512217724546,,270,26
H5 continuous: SW_stock x z_lnTA -> AssetCostShare_raw,-0.014763443788728051,0.01202388266152586,16.83424376704592,-1.2278433018951744,0.23639801567720742,-0.04015065972156769,0.010623772144111593,0.203,270,26
H5 BIG: SW_stock x BIG_it -> AssetCostShare_raw,0.009323823215764516,0.05312538598610321,12.344691567413529,0.17550598537210602,0.8635280647098996,-0.10606900370762361,0.12471665013915263,0.856,270,26
slope | small bank-year,0.005794911300943837,0.054040386929635906,13.208211943083736,0.10723297204531841,0.9162158860569996,-0.11076544203790377,0.12235526463979145,,270,26
slope | large bank-year,0.015118734516708353,0.006042394314498007,4.976333543807357,2.5021098805870294,0.05457968564061736,-0.0004359790893581159,0.030673448122774824,,270,26
H5 BIG_2020 (fixed base-year size): SW_stock x BIG_2020 -> AssetCostShare_raw,-0.054316387214306934,0.03850268480257865,12.335868010569195,-1.4107168757922353,0.18304525701052413,-0.13795390483571807,0.02932113040710419,0.163,270,26
slope | small-in-2020 bank,0.07365655284585147,0.03926718348547315,13.330802862858857,1.8757788643817712,0.08275383185305533,-0.010961546823433269,0.15827465251513623,,270,26
slope | large-in-2020 bank,0.01934016563154454,0.005553998732419114,4.049238338483685,3.482205625769145,0.024806261869944474,0.003993462574097226,0.03468686868899185,,270,26
H4 temporal: SW_stock x Post2020 -> AssetCostShare_raw,0.0027484666006866573,0.014256891811112785,8.997610384845729,0.19278161306830685,0.85141120741837,-0.029504169050480485,0.0350011022518538,0.861,270,26
H4 slope | pre-2020 (beta1),0.015283080928353267,0.020764275129093995,5.8429221398892395,0.7360276645024455,0.4901942762728757,-0.03585821253102842,0.06642437438773496,,270,26
H4 slope | post-2020 (beta1+beta2),0.018031547529039925,0.00731959150081086,3.764935270793238,2.463463640975374,0.07336871464656182,-0.0028012157018363244,0.03886431075991617,,270,26
