bank,influence,influence_sq,share_of_total_sq
MBB,-0.0046663333431169966,2.1774666869085447e-05,0.7130728503668395
TCB,0.0018787516300321448,3.5297076873484413e-06,0.1155902286226348
NAB,0.0014498662984777306,2.1021122834615156e-06,0.06883959266845059
VIB,0.0008146915169052957,6.637222677174517e-07,0.021735456718521274
ABB,-0.0007792744438737677,6.072686588747698e-07,0.019886724151774244
ACB,-0.0006780842169258653,4.59798205243964e-07,0.015057388421972276
VBB,-0.000502709212923602,2.527165527582674e-07,0.008275915939089095
BAB,0.0004821154289482224,2.3243528682992848e-07,0.007611748712489596
BAOVIETBAN,0.0004472493171068942,2.0003195165258323e-07,0.00655061015568778
KLB,0.0004167580678917721,1.7368728715288293e-07,0.00568787984988318
MSB,0.0003753751937685529,1.4090653609677864e-07,0.0046143817461795225
SHB,0.0003377112967743582,1.1404891996901865e-07,0.003734853393281025
EIB,-0.00024956847197295874,6.228442220291749e-08,0.0020396789875459266
BVB,0.00022081207372511496,4.87579719027856e-08,0.0015967172408128734
NVB,-0.0002196683110437023,4.8254166876792745e-08,0.0015802187249883254
VPB,0.00018902505761742992,3.5730472407272706e-08,0.0011700950447412182
TPB,-0.00014000597588450015,1.9601673283371237e-08,0.0006419120496386321
VAB,0.00013872528696294147,1.924470524295046e-08,0.0006302221248465289
LPB,-0.00013473633566420752,1.8153880148218e-08,0.0005944999820358443
HDB,0.00010409484081263491,1.0835735883807803e-08,0.00035484671792885165
SSB,9.111721611301831e-05,8.302347072186484e-09,0.00027188375955840527
PGB,-7.666900612188907e-05,5.878136499718263e-09,0.00019249615040726028
STB,6.417610787224859e-05,4.118572821630487e-09,0.00013487427748127922
PCB,-5.006720777618178e-05,2.506725294503357e-09,8.208978633679733e-05
OCB,-3.553417943702146e-05,1.2626779082624385e-09,4.1349947650324376e-05
SGB,1.872682206929632e-05,3.506938648150837e-10,1.148445922471915e-05
