bank,influence,influence_sq,share_of_total_sq
MBB,-0.009823402994889057,9.64992463999953e-05,0.9166167685052262
NAB,0.0017650584939217229,3.1154314869652207e-06,0.029592528943123763
ABB,-0.00105550135333766,1.114083106897632e-06,0.010582334011789958
VIB,0.0010532603243980482,1.1093573109510817e-06,0.010537445124355681
BAB,0.0009423195382465253,8.879661121611446e-07,0.008434517974342828
ACB,-0.0007331972168997413,5.375781588695263e-07,0.005106290185515878
SHB,0.0005974053066487413,3.5689310041207664e-07,0.003390018187764261
TPB,0.0005815830792284023,3.3823887804479004e-07,0.0032128274462489884
MSB,0.000511820971307266,2.6196070666991324e-07,0.002488284472479912
SSB,0.0004992764785884687,2.492770020717016e-07,0.0023678058495350575
KLB,0.0004234558988617793,1.7931489828083747e-07,0.001703257266131693
EIB,-0.0004043852429782118,1.635274247385474e-07,0.001553296893164507
STB,0.0003434133873573007,1.1793275461621545e-07,0.0011202070945627663
VBB,-0.0002904962937410674,8.438809667729651e-08,0.0008015766688583583
VAB,0.0002666379693280847,7.109580668740465e-08,0.0006753172797843144
LPB,0.000252720257225644,6.386752841219567e-08,0.0006066580796179708
BVB,0.00021584174510995012,4.6587658932108675e-08,0.0004425218949955984
VPB,0.00020552939797225617,4.224233343083806e-08,0.0004012469797224961
OCB,0.0001705555669735363,2.908920142566443e-08,0.0002763094096990943
HDB,6.228899463170917e-05,3.879918852229094e-09,3.685416014184451e-05
BAOVIETBAN,-5.138972598579545e-05,2.6409039368951404e-09,2.5085137168176595e-05
NVB,4.414704898043105e-05,1.948961933680578e-09,1.8512592131393846e-05
SGB,2.5655654110299207e-05,6.582125878273126e-10,6.252159656697207e-06
PCB,-2.072242089360092e-05,4.294187276915479e-10,4.078916895171438e-06
PGB,-7.08426194011439e-07,5.01867672361533e-13,4.76708721797117e-09
